Name,Fecha,Método de Pago,Precio (COP),Solo Carlos
Ombre Rosse Caffe,"October 7, 2024",T. Crédito,"COP 177,293.00",No
Uniqlo Termini,"October 7, 2024",T. Crédito,"COP 283,670.00",Yes
Pam Local,"October 7, 2024",T. Crédito,"COP 70,917.00",No
La Torre Ristorante,"October 8, 2024",T. Crédito,"COP 35,079.00",No
Ristoro Pecorino (Restaurante de Pisa),"October 8, 2024",T. Crédito,"COP 169,786.00",Yes
Lungarno Mini Market,"October 8, 2024",T. Crédito,"COP 14,031.00",No
Rossopomodoro Rm Stazio,"October 8, 2024",T. Crédito,"COP 39,757.00",Yes
Pam Local,"October 8, 2024",T. Crédito,"COP 42,095.00",No
Hotel Galileo,"October 8, 2024",T. Crédito,"COP 296,498.00",No
Farmacrimi Stazione T,"October 8, 2024",T. Crédito,"COP 60,711.00",No
Farmacrimi Stazione T,"October 8, 2024",T. Crédito,"COP 60,644.00",Yes
Atac Tap Go,"October 9, 2024",T. Crédito,"COP 7,059.00",Yes
Service Navigo,"October 9, 2024",T. Crédito,"COP 81,654.00",No
Bk Opera,"October 9, 2024",T. Crédito,"COP 119,540.00",No
Hotel Tilsitt,"October 9, 2024",T. Crédito,"COP 244,728.00",No
Pb France,"October 10, 2024",T. Crédito,"COP 53,127.00",No
Sumup Kiosque A Journau,"October 10, 2024",T. Crédito,"COP 71,153.00",Yes
Sunday La Creme De Paris,"October 10, 2024",T. Crédito,"COP 215,784.00",Yes
Rest Tour Eiffe,"October 10, 2024",T. Crédito,"COP 218,203.00",Yes
T Eiffel,"October 10, 2024",T. Crédito,"COP 290,210.00",Yes
Rest Tour Eiffe,"October 10, 2024",T. Crédito,"COP 30,631.00",Yes
"Ejb Distribution (CARREFOUR EXPRESS, 46 RUE DES ACACIAS 75017 PARIS 17)","October 10, 2024",T. Crédito,"COP 122,099.00",No
Mc Donald S Farw,"October 11, 2024",T. Crédito,"COP 39,740.00",No
Chateau De Versa,"October 11, 2024",T. Crédito,"COP 94,620.00",No
Mc Donald S Farw,"October 11, 2024",T. Crédito,"COP 70,965.00",No
Cote Soleil (Sindy?),"October 11, 2024",T. Crédito,"COP 223,305.00",Yes
Ep Reunion Musees Nat Gd,"October 12, 2024",T. Crédito,"COP 51,366.00",No
Duck Store,"October 12, 2024",T. Crédito,"COP 30,631.00",Yes
Bhv Marais Rivol (Perfumes en Hotel de Ville),"October 12, 2024",T. Crédito,"COP 357,212.00",Yes
Mc Donald S,"October 12, 2024",T. Crédito,"COP 40,528.00",No
Sc Lib Shakespe,"October 12, 2024",T. Crédito,"COP 86,711.00",Yes
Centre Des Monuments Nati,"October 12, 2024",T. Crédito,"COP 154,100.00",Yes
Les Etoiles,"October 12, 2024",T. Crédito,"COP 110,745.00",No
Adp Basilique Sc,"October 13, 2024",T. Crédito,"COP 9,425.00",No
Oeuvre Voeu Nat,"October 13, 2024",T. Crédito,"COP 1,137.00",No
Oeuvre Voeu Nat,"October 13, 2024",T. Crédito,"COP 14,137.00",No
Les Grenouilles,"October 13, 2024",T. Crédito,"COP 37,700.00",No
Scd Montmartre,"October 13, 2024",T. Crédito,"COP 41,941.00",No
Bisc Montmartre,"October 13, 2024",T. Crédito,"COP 46,654.00",No
Civitatis Tours,"October 13, 2024",T. Crédito,"COP 164,736.00",Yes
Service Navigo,"October 13, 2024",T. Crédito,"COP 81,762.00",No
Les Etoiles,"October 13, 2024",T. Crédito,"COP 101,320.00",No
Sc Bistrot Tour,"October 13, 2024",T. Crédito,"COP 73,044.00",No
Mcdonald S,"October 14, 2024",T. Crédito,"COP 22,855.00",No
Sumup Taxi Reda,"October 14, 2024",T. Crédito,"COP 240,340.00",No
Nyx Abservicioselectae,"October 14, 2024",T. Crédito,"COP 14,137.00",No
Aeropuerto,"October 14, 2024",T. Crédito,"COP 125,118.00",No
Aerovias Del Continente (Avianca),"October 15, 2024",T. Crédito,"COP 936,920.00",No
Dogger,"October 15, 2024",T. Crédito,"COP 47,000.00",Yes
