Name,Created time,Last edited time,Note Type,Status
Server Name Indication,"October 8, 2022 1:52 AM","September 20, 2023 2:23 AM",Literature,Processed
Target Groups,"October 10, 2022 11:42 PM","September 20, 2023 2:23 AM",Literature,Processed
How To Create An Application Load Balancer,"October 11, 2022 12:53 AM","September 20, 2023 2:23 AM",Literature,Processed
How To Create A Target Group,"October 11, 2022 2:02 AM","September 20, 2023 2:23 AM",Literature,Processed
What Is EFS?,"October 12, 2022 10:10 PM","September 20, 2023 2:23 AM",Literature,Processed
Network Drive,"October 12, 2022 11:18 PM","September 20, 2023 2:23 AM",Literature,Processed
Mounting,"October 13, 2022 12:08 AM","September 20, 2023 2:23 AM",Literature,Processed
The Fear Of Insignificance,"October 16, 2022 10:41 PM","December 30, 2023 5:20 PM",Permanent,Processed
Defying Fate,"October 16, 2022 10:41 PM","June 11, 2024 3:16 AM",Permanent,Processed
The Ultimate Goal Of A Right-Sider,"October 17, 2022 12:44 AM","October 1, 2023 7:30 PM",Literature,Unprocessed
Howe’s Egg Principle,"October 17, 2022 2:09 AM","September 20, 2023 2:23 AM",Literature,Unprocessed
Mixing UI and DAL,"October 18, 2022 12:58 AM","September 20, 2023 2:23 AM",Literature,Processed
Abstractions On Top Of State Charts,"October 18, 2022 12:58 AM","September 20, 2023 2:23 AM",Literature,Processed
Correctness Does Not Mean Friendliness,"October 18, 2022 12:58 AM","September 20, 2023 2:23 AM",Literature,Processed
Conditionals vs Hierarchical States,"October 18, 2022 12:58 AM","September 20, 2023 2:23 AM",Literature,Processed
Children Components In React VS Ember,"October 18, 2022 12:58 AM","September 20, 2023 2:23 AM",Literature,Processed
Application States Cannot Be Entirely Serialized,"October 18, 2022 12:58 AM","September 20, 2023 2:23 AM",Literature,Processed
Waterfall Development Can Be More Efficient Sometimes,"October 18, 2022 12:58 AM","September 20, 2023 2:23 AM",Literature,Processed
Data Structures VS Objects,"October 18, 2022 12:58 AM","September 20, 2023 2:23 AM",Literature,Processed
Application Logic Over Tools,"October 18, 2022 12:58 AM","September 20, 2023 2:23 AM",Literature,Processed
Scroll Restoration And Custom Back Buttons,"October 18, 2022 12:58 AM","September 20, 2023 2:23 AM",Literature,Processed
The Core Essence Of A Router,"October 18, 2022 12:58 AM","September 20, 2023 2:23 AM",Literature,Processed
Mutable State In Functions,"October 18, 2022 12:58 AM","September 20, 2023 2:23 AM",Literature,Processed
Separation Of Concerns In A Router,"October 18, 2022 12:58 AM","September 20, 2023 2:23 AM",Literature,Processed
React Suspense Only Solves Asynchrony Not State Related Challenges,"October 18, 2022 12:58 AM","September 20, 2023 2:23 AM",Literature,Processed
Stale While Revalidate Is Only Solves The Feeling Of Being Faster,"October 18, 2022 12:58 AM","September 20, 2023 2:23 AM",Literature,Processed
Using State Charts With A Router,"October 18, 2022 12:58 AM","September 20, 2023 2:23 AM",Literature,Processed
Using Attributes in CSS Could More Accessible,"October 18, 2022 12:58 AM","September 20, 2023 2:23 AM",Literature,Processed
The React Community Love/Hate RelationShip With Rails,"October 18, 2022 12:58 AM","September 20, 2023 2:23 AM",Literature,Processed
URL(s) Represent Intent And Reconciliation,"October 18, 2022 12:58 AM","September 20, 2023 2:23 AM",Literature,Processed
Business Logic In React Components,"October 18, 2022 12:58 AM","September 20, 2023 2:23 AM",Literature,Processed
URL Schemes Are Not Frequently changed,"October 18, 2022 12:58 AM","September 20, 2023 2:23 AM",Literature,Processed
Standing In The Shoulder Of Giants,"October 18, 2022 12:58 AM","September 20, 2023 2:23 AM",Literature,Processed
Routers Tend To Be Overcomplicated,"October 18, 2022 12:58 AM","September 20, 2023 2:23 AM",Literature,Processed
"Identity, Actors And Roles","October 18, 2022 12:58 AM","September 20, 2023 2:23 AM",Literature,Processed
React References And DOM Behavior,"October 18, 2022 12:58 AM","September 20, 2023 2:23 AM",Literature,Processed
Types Of Single Page Applications,"October 18, 2022 12:58 AM","September 20, 2023 2:23 AM",Literature,Processed
Data VS State,"October 18, 2022 12:58 AM","September 20, 2023 2:23 AM",Literature,Processed
Web Scrollers,"October 18, 2022 12:58 AM","September 20, 2023 2:23 AM",Literature,Processed
Sharing Business Logic In React Web And React Native,"October 18, 2022 12:58 AM","September 20, 2023 2:23 AM",Literature,Processed
Firewall Router,"October 18, 2022 12:58 AM","September 20, 2023 2:23 AM",Literature,Processed
UseEffect’s Unnatural Mental Model,"October 18, 2022 12:58 AM","September 20, 2023 2:23 AM",Literature,Processed
Route Anarchy,"October 18, 2022 12:58 AM","September 20, 2023 2:23 AM",Literature,Processed
React Arguments,"October 18, 2022 12:58 AM","September 20, 2023 2:23 AM",Literature,Processed
Lack Of Mental Clarity,"October 18, 2022 1:36 AM","October 1, 2023 11:40 PM",Literature,Unprocessed
Hard Work And Honesty,"October 18, 2022 1:36 AM","September 20, 2023 2:23 AM",Literature,Processed
Find Your Own Answers,"October 18, 2022 1:36 AM","September 20, 2023 2:23 AM",Literature,Processed
Unchaging Days,"October 18, 2022 1:36 AM","October 1, 2023 11:29 PM",Literature,Processed
Doubt The World. Know How It Operates,"October 18, 2022 1:36 AM","November 1, 2023 10:06 AM",Literature,Processed
Right And Proper Is Relative,"October 18, 2022 1:36 AM","October 1, 2023 11:38 PM",Literature,Unprocessed
Our Failures Our Badges,"October 18, 2022 1:36 AM","October 1, 2023 11:29 PM",Literature,Processed
Present vs Future,"October 18, 2022 1:36 AM","October 1, 2023 11:29 PM",Literature,Processed
The Fear Of Being Average,"October 18, 2022 1:36 AM","October 1, 2023 11:29 PM",Literature,Processed
Artificial Miracles,"October 18, 2022 1:36 AM","October 1, 2023 11:29 PM",Literature,Processed
Front-End Architecture 101,"October 18, 2022 2:38 AM","September 20, 2023 2:23 AM",Literature,Processed
Building Resilient Frontend Architecture,"October 18, 2022 2:38 AM","September 20, 2023 2:23 AM",Literature,Processed
Metaphysics And JavaScript,"October 18, 2022 2:50 AM","September 20, 2023 2:23 AM",Literature,Unprocessed
Why We Don’t Do Fixed Price Software Projects,"October 18, 2022 2:50 AM","September 20, 2023 2:23 AM",Literature,Unprocessed
Coding Fast And Slow,"October 18, 2022 2:50 AM","September 20, 2023 2:23 AM",Literature,Unprocessed
Why Estimation In Software Development Is Usually Terrible,"October 18, 2022 2:50 AM","September 20, 2023 2:23 AM",Literature,Unprocessed
Codebase Understanding,"October 18, 2022 2:50 AM","September 20, 2023 2:23 AM",Permanent,Processed
The Epistemology Of Software Quality - Increment: Teams,"October 18, 2022 2:50 AM","September 20, 2023 2:23 AM",Literature,Processed
Self-Hosted Databases,"October 22, 2022 1:16 AM","September 20, 2023 2:23 AM",Literature,Processed
Managed Databases,"October 22, 2022 1:25 AM","September 20, 2023 2:23 AM",Literature,Processed
What Is RDS?,"October 22, 2022 1:48 AM","September 20, 2023 2:23 AM",Literature,Processed
Bad Luck Comes With Its Friends,"October 24, 2022 8:17 PM","October 1, 2023 11:37 PM",Literature,Processed
Reality vs Hypotheses,"October 24, 2022 8:30 PM","October 1, 2023 7:16 PM",Literature,Unprocessed
Being The Adult,"October 24, 2022 8:33 PM","October 1, 2023 7:16 PM",Literature,Unprocessed
Finding the Key to Your Own Destiny,"October 24, 2022 8:36 PM","October 1, 2023 7:16 PM",Literature,Processed
Maturity Is Showing Somebody Can Count On You,"October 24, 2022 8:48 PM","October 1, 2023 7:29 PM",Literature,Unprocessed
Girls Just Love The Company,"October 24, 2022 9:23 PM","October 1, 2023 7:28 PM",Literature,Unprocessed
Don’t Hurt More Than Needed,"October 24, 2022 9:23 PM","October 1, 2023 7:17 PM",Literature,Unprocessed
Drawing Strength and Pride From Our Memories: Embracing Mistakes and Sacrifices,"October 24, 2022 9:52 PM","October 1, 2023 7:14 PM",Literature,Processed
RDS Backups And Snapshots,"October 24, 2022 11:19 PM","September 20, 2023 2:23 AM",Literature,Processed
What Is Multi AZ?,"October 25, 2022 12:53 AM","September 20, 2023 2:23 AM",Literature,Processed
RDS Encryption,"October 25, 2022 1:07 AM","September 20, 2023 2:23 AM",Literature,Processed
RDS Network Security,"October 25, 2022 1:17 AM","September 20, 2023 2:23 AM",Literature,Processed
Types Of Caching,"October 26, 2022 1:11 AM","September 20, 2023 2:23 AM",Literature,Processed
Client Caching,"October 26, 2022 1:14 AM","September 20, 2023 2:23 AM",Literature,Unprocessed
Database Caching,"October 26, 2022 1:14 AM","September 20, 2023 2:23 AM",Literature,Unprocessed
Application Caching Strategies,"October 27, 2022 12:30 AM","September 20, 2023 2:23 AM",Literature,Unprocessed
What Is ElastiCache?,"October 27, 2022 8:04 PM","September 20, 2023 2:23 AM",Literature,Processed
What Is Docker?,"November 3, 2022 12:29 AM","September 20, 2023 2:23 AM",Literature,Unprocessed
What Is A Task?,"November 3, 2022 1:24 AM","September 20, 2023 2:23 AM",Literature,Processed
What Is A Service?,"November 3, 2022 2:07 AM","September 20, 2023 2:23 AM",Literature,Processed
What Is Fargate?,"November 3, 2022 2:22 AM","September 20, 2023 2:23 AM",Literature,Processed
ECS with EC2 vs Fargate,"November 4, 2022 12:55 AM","September 20, 2023 2:23 AM",Literature,Processed
What Is An Image?,"November 4, 2022 1:28 AM","September 20, 2023 2:23 AM",Literature,Processed
Upgrade Your Note-Taking the Easy Way,"November 6, 2022 2:20 AM","September 20, 2023 2:23 AM",Literature,Unprocessed
What Is An API?,"November 6, 2022 2:57 PM","September 20, 2023 2:23 AM",Literature,Processed
What Is An HTTP API?,"November 8, 2022 1:31 AM","September 20, 2023 2:23 AM",Literature,Processed
What Is A REST API?,"November 8, 2022 11:51 PM","September 20, 2023 2:23 AM",Literature,Processed
What Is AppSync?,"November 9, 2022 1:04 AM","September 20, 2023 2:23 AM",Literature,Processed
What Is API Gateway?,"November 9, 2022 1:09 AM","September 20, 2023 2:23 AM",Literature,Processed
What Is Cognito?,"November 10, 2022 12:00 AM","September 20, 2023 2:23 AM",Literature,Processed
What Is Elastic Beanstalk?,"November 10, 2022 1:30 AM","September 20, 2023 2:23 AM",Literature,Processed
Integration Services,"November 17, 2022 11:47 PM","September 20, 2023 2:23 AM",Literature,Processed
What Is A Message Queue?,"November 18, 2022 12:15 AM","September 20, 2023 2:23 AM",Literature,Processed
What Is RPC?,"November 18, 2022 12:15 AM","September 20, 2023 2:23 AM",Literature,Unprocessed
What Is SQS?,"November 19, 2022 11:44 AM","September 20, 2023 2:23 AM",Literature,Processed
What Is EventBridge?,"November 19, 2022 1:30 PM","September 20, 2023 2:23 AM",Literature,Processed
What Is SES?,"November 19, 2022 2:12 PM","September 20, 2023 2:23 AM",Literature,Processed
What Is Amazon MQ?,"November 19, 2022 2:12 PM","September 20, 2023 2:23 AM",Literature,Unprocessed
What Is CloudMap?,"November 19, 2022 2:24 PM","September 20, 2023 2:23 AM",Literature,Processed
I Am The Captain Of My Soul,"November 28, 2022 3:03 AM","October 1, 2023 11:28 PM",,Processed
Let Your Ideals Drag You To Your Death,"December 25, 2022 4:28 PM","October 1, 2023 11:38 PM",Literature,Unprocessed
What Is A Dristributed Database?,"December 30, 2022 1:53 AM","September 20, 2023 2:23 AM",Literature,Processed
What Is Bitcoin?,"December 30, 2022 2:26 AM","September 20, 2023 2:23 AM",Literature,Unprocessed
What Is Database Replication?,"December 30, 2022 2:33 AM","September 20, 2023 2:23 AM",Literature,Processed
What Is A Genesis Record?,"December 30, 2022 3:05 AM","September 20, 2023 2:23 AM",Literature,Processed
What Is An Orphan Record?,"December 30, 2022 3:13 AM","September 20, 2023 2:23 AM",Literature,Processed
What Is A Block?,"December 30, 2022 3:19 AM","September 20, 2023 2:23 AM",Literature,Unprocessed
What Is A Blockchain?,"December 30, 2022 3:19 AM","September 20, 2023 2:23 AM",Literature,Unprocessed
What Is Ethereum?,"December 30, 2022 3:27 AM","September 20, 2023 2:23 AM",Literature,Unprocessed
Be Flexible In Your Thinking,"December 31, 2022 11:07 PM","October 1, 2023 7:49 PM",Literature,Processed
The Rules Of the System,"January 1, 2023 12:25 AM","October 1, 2023 7:49 PM",Literature,Processed
Genius vs Talented,"January 1, 2023 12:50 AM","October 1, 2023 7:48 PM",Literature,Processed
Information Forgery,"January 2, 2023 3:04 AM","October 1, 2023 7:48 PM",Literature,Processed
Advent Of New Begginings,"January 2, 2023 12:28 PM","September 20, 2023 2:28 AM",Fleeting,Processed
What Is Proof-of-Stake?,"January 3, 2023 1:11 AM","September 20, 2023 2:23 AM",Literature,Unprocessed
It Doesn't Matter If I Stand A Chance Or Not,"January 3, 2023 12:22 PM","September 20, 2023 2:28 AM",Fleeting,Processed
What Is A Digital Currency?,"January 3, 2023 3:04 PM","September 20, 2023 2:23 AM",Literature,Unprocessed
What Is A Worker Node?,"January 3, 2023 8:48 PM","September 20, 2023 2:23 AM",Literature,Unprocessed
Will I Be Ever Ready?,"January 6, 2023 2:09 PM","September 20, 2023 2:28 AM",Fleeting,Processed
Minute Of Darkness,"January 10, 2023 12:38 PM","September 20, 2023 2:23 AM",Fleeting,Processed
The First Day Is Always Turbulent,"January 11, 2023 12:35 PM","September 20, 2023 2:23 AM",Fleeting,Processed
What Is Valuable Information?,"January 12, 2023 1:57 AM","October 1, 2023 7:48 PM",Literature,Processed
What You Gonna Do?,"January 12, 2023 12:41 PM","September 20, 2023 2:23 AM",Fleeting,Processed
Placidity,"January 13, 2023 12:48 PM","September 20, 2023 2:23 AM",Fleeting,Processed
Demoing The New Apartment,"January 15, 2023 4:05 AM","September 20, 2023 2:23 AM",Fleeting,Processed
"Ave, Caesar, Morituri Te Salutant","January 16, 2023 1:16 PM","September 20, 2023 2:23 AM",Fleeting,Processed
Do You Believe Yourself?,"January 19, 2023 1:18 PM","September 20, 2023 2:23 AM",Fleeting,Processed
"Two Steps Forward, One Step Back","January 20, 2023 1:07 PM","September 20, 2023 2:23 AM",Fleeting,Processed
I Will Make It,"January 23, 2023 1:00 AM","September 20, 2023 2:23 AM",Fleeting,Processed
Shittiest Week Of The Year So Far,"January 24, 2023 1:48 PM","September 20, 2023 2:23 AM",Fleeting,Processed
"From The Rust Covered Railing On The Roof, You Can See A Very The Very Dreary Scenery","January 25, 2023 1:52 PM","September 20, 2023 2:23 AM",Fleeting,Processed
But My Dreams Are Big They're Just Not Moving,"January 28, 2023 2:32 PM","September 20, 2023 2:23 AM",Fleeting,Processed
I Won't Save You.,"January 30, 2023 12:28 PM","September 20, 2023 2:23 AM",Fleeting,Processed
"New Month, New Home","February 1, 2023 1:26 PM","September 20, 2023 2:23 AM",Fleeting,Processed
Two Days Later,"February 2, 2023 1:18 PM","September 20, 2023 2:23 AM",Fleeting,Processed
First Friday,"February 3, 2023 2:16 PM","September 20, 2023 2:23 AM",Fleeting,Processed
English Channels,"February 4, 2023 1:02 PM","September 20, 2023 2:23 AM",Fleeting,Processed
The Weekend Arrives,"February 4, 2023 2:37 PM","September 20, 2023 2:23 AM",Fleeting,Processed
Not Feeling Alone For The First Time,"February 5, 2023 2:10 PM","September 20, 2023 2:23 AM",Fleeting,Processed
We Don't Know How The Other One Feels,"February 8, 2023 2:31 AM","October 1, 2023 7:47 PM",Literature,Processed
Information Clash Instinct,"February 8, 2023 2:36 AM","October 1, 2023 7:47 PM",Literature,Processed
A Calm Friday In a Long Time,"February 10, 2023 2:29 PM","September 20, 2023 2:23 AM",Fleeting,Processed
"Make Sure That Whatever You Do, You Don’t Regret It","February 11, 2023 5:21 PM","October 1, 2023 7:46 PM",Literature,Processed
Trying Again,"February 13, 2023 1:32 PM","September 20, 2023 2:23 AM",Fleeting,Processed
Saturday already? Feels like Vacations,"February 18, 2023 11:09 PM","September 20, 2023 2:23 AM",Fleeting,Processed
Back To Work,"February 23, 2023 12:39 AM","September 20, 2023 2:23 AM",Fleeting,Processed
A Happy Sunday,"February 26, 2023 2:40 PM","September 20, 2023 2:28 AM",Fleeting,Processed
Virtual Reality,"February 27, 2023 1:34 PM","September 20, 2023 2:28 AM",Fleeting,Processed
Why Am I Doing this?,"March 3, 2023 3:51 AM","September 20, 2023 2:28 AM",Fleeting,Processed
Boring Sunday,"March 6, 2023 3:18 AM","September 20, 2023 2:23 AM",Fleeting,Processed
I Wish For A Time of Tranquility,"March 6, 2023 1:33 PM","September 20, 2023 2:23 AM",Fleeting,Processed
A Strange Placidity,"March 9, 2023 1:05 PM","September 20, 2023 2:23 AM",Fleeting,Processed
Slowing Down,"March 11, 2023 1:44 PM","September 20, 2023 2:23 AM",Fleeting,Processed
Just Give Me The Details,"March 19, 2023 4:24 AM","October 1, 2023 7:45 PM",Literature,Processed
A Somehwat Lonely Saturday,"March 19, 2023 4:51 AM","September 30, 2023 7:34 PM",Fleeting,Processed
What We Believe In,"March 19, 2023 5:39 PM","October 1, 2023 7:31 PM",Literature,Processed
Disconnected From Everyone Else,"March 20, 2023 4:01 PM","October 1, 2023 7:30 PM",Literature,Processed
Haven't Written In A While,"March 25, 2023 3:28 AM","September 20, 2023 2:28 AM",Fleeting,Processed
Damn it Brain,"June 21, 2023 11:57 AM","September 20, 2023 2:28 AM",Fleeting,Processed
Maybe I'm Blessed I Guess I'll Never Know,"June 23, 2023 1:33 PM","September 20, 2023 2:28 AM",Fleeting,Processed
You Are The Very Image Of Your Father,"June 26, 2023 12:57 PM","September 20, 2023 2:23 AM",Permanent,Processed
Mo-Mo-Monday,"July 4, 2023 12:16 PM","September 20, 2023 2:28 AM",Fleeting,Processed
Is Repression Emotions The Same As Controlling Them?,"July 14, 2023 1:42 PM","September 20, 2023 2:28 AM",Fleeting,Processed
It Feels Weird,"July 24, 2023 2:13 AM","September 20, 2023 2:28 AM",Fleeting,Processed
What Does It Mean To Be Yourself?,"July 29, 2023 6:02 PM","September 20, 2023 2:28 AM",Fleeting,Processed
I Just Wanted To Be Stronger,"August 1, 2023 12:28 PM","September 20, 2023 2:28 AM",Fleeting,Processed
Lacking Focus,"August 9, 2023 12:08 PM","September 20, 2023 2:28 AM",Fleeting,Processed
Data Access: A Forgotten Cornern In Front-End Code,"August 12, 2023 2:53 PM","September 20, 2023 2:23 AM",Permanent,Unprocessed
The World As A Video Game,"August 21, 2023 2:54 PM","November 4, 2023 7:04 PM",Literature,Processed
Better Than Yesterday,"August 24, 2023 2:11 AM","September 20, 2023 2:28 AM",Fleeting,Processed
Wishing For Blue Skies,"August 25, 2023 1:18 AM","December 18, 2023 1:32 AM",Literature,Processed
First Long Week In A While,"August 28, 2023 1:28 PM","September 20, 2023 2:28 AM",Fleeting,Processed
Front-End Glossary: Adapters,"August 30, 2023 12:39 AM","September 20, 2023 2:23 AM",Permanent,Unprocessed
Hidden Character Growth,"September 3, 2023 1:16 AM","October 1, 2023 11:39 PM",,Processed
An Alternative Sunday,"September 3, 2023 1:13 PM","September 20, 2023 2:28 AM",Fleeting,Processed
A Life Without Purpose,"September 3, 2023 3:07 PM","October 1, 2023 7:50 PM",,Processed
Hair Washing Is Killing My Productivity?,"September 6, 2023 12:39 PM","September 20, 2023 2:28 AM",Fleeting,Processed
Thu-Thu-Thursday,"September 7, 2023 12:47 PM","September 20, 2023 2:28 AM",Fleeting,Processed
The Childish Desire To Be Special,"September 16, 2023 2:51 PM","November 4, 2023 7:25 PM",Literature,Processed
Not Everything Goes According To Plan,"September 17, 2023 4:42 AM","September 20, 2023 2:28 AM",Fleeting,Processed
Is It Monday Already?,"September 18, 2023 12:28 PM","September 20, 2023 2:28 AM",Fleeting,Processed
Create A Safe Fixes,"September 18, 2023 12:55 PM","September 20, 2023 2:23 AM",Fleeting,Unprocessed
Reality Synchro,"September 23, 2023 5:15 PM","October 31, 2023 2:09 AM",Literature,Processed
Is It Gonna Rain?,"September 25, 2023 1:30 PM","September 25, 2023 1:33 PM",Fleeting,Processed
A Detective's Iron Rule,"September 26, 2023 1:26 AM","November 1, 2023 9:55 AM",Literature,Processed
What’s Wrong With Being Naive?,"September 26, 2023 1:48 AM","October 31, 2023 1:16 AM",Literature,Processed
Still Not Getting Enough Sleep,"September 26, 2023 12:37 PM","September 26, 2023 12:39 PM",Fleeting,Processed
A Will That Can Turn Negatives Into Positives,"September 28, 2023 1:30 AM","October 31, 2023 1:15 AM",Literature,Processed
"Despite Everything, I Will Continue","September 28, 2023 12:45 PM","September 28, 2023 12:52 PM",Literature,Processed
Propietary Tailwind Components,"September 30, 2023 8:14 PM","September 30, 2023 8:15 PM",Fleeting,Unprocessed
Ark Heart,"September 30, 2023 8:19 PM","October 1, 2023 7:50 PM",Fleeting,Unprocessed
GeoTags,"October 2, 2023 12:14 AM","October 2, 2023 12:15 AM",Fleeting,Processed
Using The AFC Account,"October 2, 2023 12:21 AM","October 2, 2023 12:21 AM",Literature,Unprocessed
Deathly Loneliness Attacks,"October 3, 2023 1:17 AM","November 4, 2023 8:24 PM",Literature,Unprocessed
Boring Friday,"October 6, 2023 1:26 PM","October 6, 2023 1:29 PM",Fleeting,Processed
The Loneliness of Strength: Reflections on Satoru Gojo and Personal Growt,"October 9, 2023 12:35 PM","October 9, 2023 12:39 PM",Fleeting,Processed
I Wonder,"October 24, 2023 2:13 AM","October 24, 2023 2:15 AM",Fleeting,Unprocessed
Learning to Adapt in This Chaotic World,"November 4, 2023 7:55 PM","November 4, 2023 8:17 PM",Permanent,Processed
Magi,"November 6, 2023 9:25 PM","November 7, 2023 12:48 PM",,Unprocessed
Weekend Summary,"November 13, 2023 4:09 AM","November 13, 2023 4:12 AM",Fleeting,Processed
Cold,"November 15, 2023 1:48 PM","November 15, 2023 1:53 PM",Fleeting,Processed
Automation Candidates,"November 18, 2023 3:51 PM","November 18, 2023 4:23 PM",,Unprocessed
AI Momentum,"November 19, 2023 4:46 AM","November 19, 2023 4:50 AM",Fleeting,Processed
Little By Little,"November 20, 2023 1:23 AM","November 21, 2023 1:32 AM",Fleeting,Processed
Trying Not To Think About That,"November 20, 2023 1:38 PM","November 21, 2023 1:31 AM",Fleeting,Processed
Birthday Eve,"November 22, 2023 3:18 AM","November 22, 2023 3:22 AM",Fleeting,Processed
Multiple Checking Accounts,"November 24, 2023 9:35 PM","November 25, 2023 2:46 AM",Fleeting,Processed
Remember To Do This,"November 25, 2023 2:47 AM","November 25, 2023 4:55 PM",Fleeting,Processed
Forgetting We Love Someone,"November 26, 2023 5:21 AM","November 26, 2023 5:29 AM",Literature,Processed
Second Day Of December,"December 2, 2023 1:14 PM","December 2, 2023 1:19 PM",Fleeting,Processed
Finance Report 2023-12-05,"December 6, 2023 2:22 AM","December 6, 2023 2:22 AM",,Unprocessed
Finance Report 2023-12-05,"December 6, 2023 2:30 AM","December 6, 2023 2:30 AM",,Unprocessed
Finance Report 2023-12-06,"December 7, 2023 2:13 AM","December 7, 2023 2:13 AM",Fleeting,Unprocessed
Finance Report 2023-12-09,"December 9, 2023 3:00 PM","December 9, 2023 3:00 PM",Fleeting,Unprocessed
Finance Report 2023-12-09,"December 9, 2023 4:26 PM","December 9, 2023 4:26 PM",Fleeting,Unprocessed
Lourdes’ Auto Evaluation,"December 10, 2023 2:16 AM","December 10, 2023 6:30 PM",Fleeting,Processed
"Work Day (@December 13, 2023)","December 13, 2023 5:43 AM","December 13, 2023 12:48 PM",Fleeting,Unprocessed
Fight Forward,"December 13, 2023 12:38 PM","December 13, 2023 12:48 PM",Fleeting,Processed
"Work Day (@December 15, 2023)","December 15, 2023 5:57 AM","December 16, 2023 4:29 AM",Fleeting,Unprocessed
End Of Year Energies,"December 19, 2023 1:46 AM","December 19, 2023 1:50 AM",Fleeting,Processed
"Work Day (@December 22, 2023)","December 22, 2023 5:40 AM","December 23, 2023 1:48 AM",Fleeting,Unprocessed
"Work Day (@December 26, 2023)","December 26, 2023 6:41 AM","December 27, 2023 7:24 PM",Fleeting,Unprocessed
"Work Day (@December 28, 2023)","December 28, 2023 7:21 AM","December 28, 2023 7:21 AM",Fleeting,Unprocessed
"Work Day (@December 29, 2023)","December 29, 2023 7:09 AM","December 29, 2023 7:09 AM",Fleeting,Unprocessed
"Work Day (@January 1, 2024)","January 1, 2024 6:14 AM","January 1, 2024 6:14 AM",Fleeting,Unprocessed
First Day,"January 2, 2024 2:20 AM","January 2, 2024 2:21 AM",Fleeting,Processed
Dark Clouds,"January 4, 2024 2:22 AM","January 4, 2024 2:26 AM",Fleeting,Processed
"Work Day (@January 4, 2024)","January 4, 2024 5:12 AM","January 4, 2024 3:56 PM",Fleeting,Unprocessed
Weekend Distraction,"January 7, 2024 12:40 PM","January 9, 2024 12:30 AM",Fleeting,Processed
Level Up Or Lose,"January 9, 2024 12:33 AM","January 9, 2024 12:35 AM",Literature,Unprocessed
We Are The Exception,"January 9, 2024 12:35 AM","February 18, 2024 8:40 PM",Literature,Unprocessed
After The Storm,"January 9, 2024 1:58 AM","January 9, 2024 2:00 AM",Literature,Unprocessed
