Description,Amount,Amount In USD,Created time
Sodexo Card,"COP 400,000.00",,"July 1, 2024 5:05 AM"
CI&T Salary,"COP 8,300,000.00",,"July 1, 2024 5:25 AM"
English Professor,"COP 670,000.00",,"July 1, 2024 6:20 AM"
Pills,"COP 50,000.00",,"July 1, 2024 6:52 AM"
Mom's Phone Plan,"COP 40,000.00",,"July 1, 2024 7:07 AM"
Mom's Health Insurance,"COP 165,000.00",,"July 1, 2024 7:38 AM"
Galleta's Quota,"COP 100,000.00",,"July 1, 2024 7:42 AM"
Valentina's Quota,"COP 1,000,000.00",,"July 1, 2024 7:43 AM"
VariaCode Salary,,"$2,000.00","July 3, 2024 12:25 AM"
VariaCode Salary,,"$2,000.00","July 3, 2024 12:30 AM"
Carlos’ Circus Tickets,"COP 68,000.00",,"July 3, 2024 12:49 AM"
Carlos’ Beer,"COP 20,000.00",,"July 3, 2024 12:49 AM"
1/2 CI&T Salary,"COP 4,500,000.00",,"July 3, 2024 12:53 AM"
Pills,"COP 50,000.00",,"August 1, 2024 5:03 AM"
Mom's Health Insurance,"COP 165,000.00",,"August 1, 2024 5:46 AM"
CI&T Salary,"COP 8,300,000.00",,"August 1, 2024 5:50 AM"
Valentina's Quota,"COP 1,000,000.00",,"August 1, 2024 6:05 AM"
Mom's Phone Plan,"COP 40,000.00",,"August 1, 2024 6:07 AM"
Galleta's Quota,"COP 100,000.00",,"August 1, 2024 6:46 AM"
VariaCode Salary,,"$2,000.00","August 1, 2024 6:52 AM"
Sodexo Card,"COP 400,000.00",,"August 1, 2024 7:05 AM"
English Professor,"COP 670,000.00",,"August 1, 2024 8:00 AM"
CI&T Salary,"COP 8,300,000.00",,"September 1, 2024 5:37 AM"
Mom's Phone Plan,"COP 40,000.00",,"September 1, 2024 5:45 AM"
Valentina's Quota,"COP 1,000,000.00",,"September 1, 2024 6:20 AM"
Pills,"COP 50,000.00",,"September 1, 2024 6:36 AM"
Mom's Health Insurance,"COP 165,000.00",,"September 1, 2024 6:53 AM"
English Professor,"COP 670,000.00",,"September 1, 2024 7:08 AM"
Galleta's Quota,"COP 100,000.00",,"September 1, 2024 7:15 AM"
Sodexo Card,"COP 400,000.00",,"September 1, 2024 7:17 AM"
VariaCode Salary,,"$2,000.00","September 1, 2024 7:51 AM"
Galleta's Quota,"COP 100,000.00",,"October 1, 2024 5:01 AM"
VariaCode Salary,,"$2,000.00","October 1, 2024 6:27 AM"
Valentina's Quota,"COP 1,000,000.00",,"October 1, 2024 6:35 AM"
English Professor,"COP 670,000.00",,"October 1, 2024 6:51 AM"
CI&T Salary,"COP 8,300,000.00",,"October 1, 2024 7:00 AM"
Mom's Health Insurance,"COP 165,000.00",,"October 1, 2024 7:21 AM"
Sodexo Card,"COP 400,000.00",,"October 1, 2024 7:29 AM"
Pills,"COP 50,000.00",,"October 1, 2024 7:32 AM"
Mom's Phone Plan,"COP 40,000.00",,"October 1, 2024 7:42 AM"
Mom's Phone Plan,"COP 40,000.00",,"November 1, 2024 5:05 AM"
Pills,"COP 50,000.00",,"November 1, 2024 5:07 AM"
Sodexo Card,"COP 400,000.00",,"November 1, 2024 5:48 AM"
Galleta's Quota,"COP 100,000.00",,"November 1, 2024 5:55 AM"
Valentina's Quota,"COP 1,000,000.00",,"November 1, 2024 6:27 AM"
CI&T Salary,"COP 8,300,000.00",,"November 1, 2024 7:27 AM"
VariaCode Salary,,"$2,000.00","November 1, 2024 7:28 AM"
Mom's Health Insurance,"COP 165,000.00",,"November 1, 2024 7:48 AM"
English Professor,"COP 670,000.00",,"November 1, 2024 7:57 AM"
Valentina's Gym Loan,"COP 122,500.00",,"November 30, 2024 6:18 AM"
Valentina's Quota On Mom's Dental Treatment,"COP 500,000.00",,"November 30, 2024 7:27 AM"
C&T Salary,"COP 8,250,000.00",,"December 1, 2024 5:35 AM"
Valentina's Quota,"COP 1,000,000.00",,"December 1, 2024 5:55 AM"
Pills,"COP 50,000.00",,"December 1, 2024 6:51 AM"
Sodexo Card,"COP 400,000.00",,"December 1, 2024 7:09 AM"
Galleta's Quota,"COP 100,000.00",,"December 1, 2024 7:10 AM"
Mom's Phone Plan,"COP 40,000.00",,"December 1, 2024 7:18 AM"
VariaCode Salary,,"$2,000.00","December 1, 2024 7:43 AM"
Mom's Health Insurance,"COP 165,000.00",,"December 1, 2024 7:44 AM"
English Professor,"COP 670,000.00",,"December 1, 2024 7:48 AM"
Valentina's Quota On Mom's Dental Treatment,"COP 500,000.00",,"December 30, 2024 6:09 AM"
Valentina's Gym Loan,"COP 122,500.00",,"December 30, 2024 7:35 AM"
Sodexo Card,"COP 400,000.00",,"January 1, 2025 5:41 AM"
Valentina's Quota,"COP 1,000,000.00",,"January 1, 2025 5:44 AM"
Pills,"COP 50,000.00",,"January 1, 2025 6:06 AM"
C&T Salary,"COP 8,250,000.00",,"January 1, 2025 6:11 AM"
VariaCode Salary,,"$2,000.00","January 1, 2025 6:12 AM"
Mom's Health Insurance,"COP 165,000.00",,"January 1, 2025 6:32 AM"
English Professor,"COP 670,000.00",,"January 1, 2025 7:29 AM"
Galleta's Quota,"COP 100,000.00",,"January 1, 2025 7:31 AM"
Mom's Phone Plan,"COP 40,000.00",,"January 1, 2025 7:47 AM"
Valentina's Quota On Mom's Dental Treatment,"COP 500,000.00",,"January 30, 2025 5:18 AM"
Valentina's Gym Loan,"COP 122,500.00",,"January 30, 2025 7:28 AM"
Pills,"COP 50,000.00",,"February 1, 2025 5:01 AM"
Sodexo Card,"COP 400,000.00",,"February 1, 2025 5:26 AM"
English Professor,"COP 670,000.00",,"February 1, 2025 5:58 AM"
Mom's Phone Plan,"COP 40,000.00",,"February 1, 2025 6:22 AM"
C&T Salary,"COP 8,250,000.00",,"February 1, 2025 6:58 AM"
Valentina's Quota,"COP 1,000,000.00",,"February 1, 2025 6:59 AM"
VariaCode Salary,,"$2,000.00","February 1, 2025 7:12 AM"
Galleta's Quota,"COP 100,000.00",,"February 1, 2025 7:38 AM"
Mom's Health Insurance,"COP 165,000.00",,"February 1, 2025 7:44 AM"
English Professor,"COP 670,000.00",,"March 1, 2025 5:55 AM"
Mom's Phone Plan,"COP 40,000.00",,"March 1, 2025 6:05 AM"
Pills,"COP 50,000.00",,"March 1, 2025 6:10 AM"
Mom's Health Insurance,"COP 165,000.00",,"March 1, 2025 6:40 AM"
C&T Salary,"COP 8,250,000.00",,"March 1, 2025 6:52 AM"
Sodexo Card,"COP 400,000.00",,"March 1, 2025 6:58 AM"
Galleta's Quota,"COP 100,000.00",,"March 1, 2025 7:28 AM"
VariaCode Salary,,"$2,000.00","March 1, 2025 7:42 AM"
Valentina's Quota,"COP 1,000,000.00",,"March 1, 2025 7:56 AM"
Valentina's Gym Loan,"COP 122,500.00",,"March 30, 2025 5:00 AM"
Valentina's Quota On Mom's Dental Treatment,"COP 500,000.00",,"March 30, 2025 7:48 AM"
English Professor,"COP 670,000.00",,"April 1, 2025 5:07 AM"
Mom's Phone Plan,"COP 40,000.00",,"April 1, 2025 5:12 AM"
Mom's Health Insurance,"COP 165,000.00",,"April 1, 2025 5:14 AM"
VariaCode Salary,,"$2,000.00","April 1, 2025 5:38 AM"
C&T Salary,"COP 8,250,000.00",,"April 1, 2025 5:40 AM"
Pills,"COP 50,000.00",,"April 1, 2025 5:49 AM"
Valentina's Quota,"COP 1,000,000.00",,"April 1, 2025 6:02 AM"
Sodexo Card,"COP 400,000.00",,"April 1, 2025 6:16 AM"
Galleta's Quota,"COP 100,000.00",,"April 1, 2025 7:51 AM"
Valentina's Quota On Mom's Dental Treatment,"COP 500,000.00",,"April 30, 2025 5:01 AM"
Valentina's Gym Loan,"COP 122,500.00",,"April 30, 2025 5:01 AM"
VariaCode Salary,,"$2,000.00","May 1, 2025 5:00 AM"
Mom's Health Insurance,"COP 165,000.00",,"May 1, 2025 5:04 AM"
Sodexo Card,"COP 400,000.00",,"May 1, 2025 5:04 AM"
C&T Salary,"COP 8,250,000.00",,"May 1, 2025 5:04 AM"
Galleta's Quota,"COP 100,000.00",,"May 1, 2025 5:04 AM"
English Professor,"COP 670,000.00",,"May 1, 2025 5:04 AM"
Mom's Phone Plan,"COP 40,000.00",,"May 1, 2025 5:04 AM"
Valentina's Quota,"COP 1,000,000.00",,"May 1, 2025 5:05 AM"
Pills,"COP 50,000.00",,"May 1, 2025 5:05 AM"
Valentina's Gym Loan,"COP 122,500.00",,"May 30, 2025 5:04 AM"
Valentina's Quota On Mom's Dental Treatment,"COP 500,000.00",,"May 30, 2025 5:04 AM"
Mom's Phone Plan,"COP 40,000.00",,"June 1, 2025 5:00 AM"
Sodexo Card,"COP 400,000.00",,"June 1, 2025 5:00 AM"
C&T Salary,"COP 8,250,000.00",,"June 1, 2025 5:00 AM"
Galleta's Quota,"COP 100,000.00",,"June 1, 2025 5:00 AM"
VariaCode Salary,,"$2,000.00","June 1, 2025 5:04 AM"
Pills,"COP 50,000.00",,"June 1, 2025 5:04 AM"
Valentina's Quota,"COP 1,000,000.00",,"June 1, 2025 5:04 AM"
Mom's Health Insurance,"COP 165,000.00",,"June 1, 2025 5:04 AM"
English Professor,"COP 670,000.00",,"June 1, 2025 5:04 AM"
Valentina's Quota On Mom's Dental Treatment,"COP 500,000.00",,"June 30, 2025 5:00 AM"
Valentina's Gym Loan,"COP 122,500.00",,"June 30, 2025 5:00 AM"
VariaCode Salary,,"$2,000.00","July 1, 2025 5:01 AM"
Galleta's Quota,"COP 100,000.00",,"July 1, 2025 5:05 AM"
Mom's Phone Plan,"COP 40,000.00",,"July 1, 2025 5:05 AM"
Sodexo Card,"COP 400,000.00",,"July 1, 2025 5:05 AM"
C&T Salary,"COP 8,250,000.00",,"July 1, 2025 5:05 AM"
Mom's Health Insurance,"COP 165,000.00",,"July 1, 2025 5:05 AM"
Valentina's Quota,"COP 1,000,000.00",,"July 1, 2025 5:05 AM"
Pills,"COP 50,000.00",,"July 1, 2025 5:05 AM"
English Professor,"COP 670,000.00",,"July 1, 2025 5:05 AM"
Valentina's Gym Loan,"COP 122,500.00",,"July 30, 2025 5:02 AM"
Valentina's Quota On Mom's Dental Treatment,"COP 500,000.00",,"July 30, 2025 5:03 AM"
Sodexo Card,"COP 400,000.00",,"August 1, 2025 5:01 AM"
Mom's Phone Plan,"COP 40,000.00",,"August 1, 2025 5:01 AM"
C&T Salary,"COP 8,250,000.00",,"August 1, 2025 5:01 AM"
English Professor,"COP 670,000.00",,"August 1, 2025 5:01 AM"
VariaCode Salary,,"$2,000.00","August 1, 2025 5:04 AM"
Valentina's Quota,"COP 1,000,000.00",,"August 1, 2025 5:06 AM"
Mom's Health Insurance,"COP 165,000.00",,"August 1, 2025 5:06 AM"
Pills,"COP 50,000.00",,"August 1, 2025 5:06 AM"
Galleta's Quota,"COP 100,000.00",,"August 1, 2025 5:06 AM"
Valentina's Quota On Mom's Dental Treatment,"COP 500,000.00",,"August 30, 2025 5:03 AM"
Valentina's Gym Loan,"COP 122,500.00",,"August 30, 2025 5:03 AM"
VariaCode Salary,,"$2,000.00","September 1, 2025 5:01 AM"
Sodexo Card,"COP 400,000.00",,"September 1, 2025 5:07 AM"
English Professor,"COP 670,000.00",,"September 1, 2025 5:07 AM"
Mom's Phone Plan,"COP 40,000.00",,"September 1, 2025 5:07 AM"
C&T Salary,"COP 8,250,000.00",,"September 1, 2025 5:07 AM"
Galleta's Quota,"COP 100,000.00",,"September 1, 2025 5:07 AM"
Valentina's Quota,"COP 1,000,000.00",,"September 1, 2025 5:07 AM"
Pills,"COP 50,000.00",,"September 1, 2025 5:07 AM"
Mom's Health Insurance,"COP 165,000.00",,"September 1, 2025 5:07 AM"
Valentina's Quota On Mom's Dental Treatment,"COP 500,000.00",,"September 30, 2025 5:00 AM"
Valentina's Gym Loan,"COP 122,500.00",,"September 30, 2025 5:05 AM"
VariaCode Salary,,"$2,000.00","October 1, 2025 5:04 AM"
Galleta's Quota,"COP 100,000.00",,"October 1, 2025 5:06 AM"
Valentina's Quota,"COP 1,000,000.00",,"October 1, 2025 5:06 AM"
Mom's Health Insurance,"COP 165,000.00",,"October 1, 2025 5:06 AM"
Sodexo Card,"COP 400,000.00",,"October 1, 2025 5:06 AM"
Pills,"COP 50,000.00",,"October 1, 2025 5:06 AM"
English Professor,"COP 670,000.00",,"October 1, 2025 5:06 AM"
Mom's Phone Plan,"COP 40,000.00",,"October 1, 2025 5:06 AM"
C&T Salary,"COP 8,250,000.00",,"October 1, 2025 5:06 AM"
Valentina's Gym Loan,"COP 122,500.00",,"October 30, 2025 5:02 AM"
Valentina's Quota On Mom's Dental Treatment,"COP 500,000.00",,"October 30, 2025 5:03 AM"
VariaCode Salary,,"$2,000.00","November 1, 2025 5:03 AM"
Galleta's Quota,"COP 100,000.00",,"November 1, 2025 5:04 AM"
Valentina's Quota,"COP 1,000,000.00",,"November 1, 2025 5:04 AM"
Sodexo Card,"COP 400,000.00",,"November 1, 2025 5:04 AM"
English Professor,"COP 670,000.00",,"November 1, 2025 5:04 AM"
Pills,"COP 50,000.00",,"November 1, 2025 5:04 AM"
Mom's Health Insurance,"COP 165,000.00",,"November 1, 2025 5:04 AM"
Mom's Phone Plan,"COP 40,000.00",,"November 1, 2025 5:04 AM"
C&T Salary,"COP 8,250,000.00",,"November 1, 2025 5:04 AM"
Valentina's Gym Loan,"COP 122,500.00",,"November 30, 2025 5:10 AM"
Valentina's Quota On Mom's Dental Treatment,"COP 500,000.00",,"November 30, 2025 5:21 AM"
VariaCode Salary,,"$2,000.00","December 1, 2025 5:53 AM"
English Professor,"COP 670,000.00",,"December 1, 2025 5:56 AM"
Mom's Health Insurance,"COP 165,000.00",,"December 1, 2025 5:56 AM"
Galleta's Quota,"COP 100,000.00",,"December 1, 2025 5:56 AM"
C&T Salary,"COP 8,250,000.00",,"December 1, 2025 5:56 AM"
Valentina's Quota,"COP 1,000,000.00",,"December 1, 2025 5:56 AM"
Sodexo Card,"COP 400,000.00",,"December 1, 2025 5:56 AM"
Pills,"COP 50,000.00",,"December 1, 2025 5:57 AM"
Mom's Phone Plan,"COP 40,000.00",,"December 1, 2025 5:57 AM"
Valentina's Gym Loan,"COP 122,500.00",,"December 30, 2025 5:19 AM"
Valentina's Quota On Mom's Dental Treatment,"COP 500,000.00",,"December 30, 2025 5:22 AM"
Sodexo Card,"COP 400,000.00",,"January 1, 2026 5:21 AM"
English Professor,"COP 670,000.00",,"January 1, 2026 5:21 AM"
Galleta's Quota,"COP 100,000.00",,"January 1, 2026 5:21 AM"
C&T Salary,"COP 8,250,000.00",,"January 1, 2026 5:21 AM"
Mom's Health Insurance,"COP 165,000.00",,"January 1, 2026 5:21 AM"
Mom's Phone Plan,"COP 40,000.00",,"January 1, 2026 5:21 AM"
VariaCode Salary,,"$2,000.00","January 1, 2026 5:26 AM"
Pills,"COP 50,000.00",,"January 1, 2026 5:29 AM"
Valentina's Quota,"COP 1,000,000.00",,"January 1, 2026 5:29 AM"
Valentina's Gym Loan,"COP 122,500.00",,"January 30, 2026 5:15 AM"
Valentina's Quota On Mom's Dental Treatment,"COP 500,000.00",,"January 30, 2026 5:22 AM"
VariaCode Salary,,"$2,000.00","February 1, 2026 5:18 AM"
Pills,"COP 50,000.00",,"February 1, 2026 5:30 AM"
C&T Salary,"COP 8,250,000.00",,"February 1, 2026 5:30 AM"
Valentina's Quota,"COP 1,000,000.00",,"February 1, 2026 5:30 AM"
Galleta's Quota,"COP 100,000.00",,"February 1, 2026 5:30 AM"
Mom's Phone Plan,"COP 40,000.00",,"February 1, 2026 5:30 AM"
Mom's Health Insurance,"COP 165,000.00",,"February 1, 2026 5:30 AM"
English Professor,"COP 670,000.00",,"February 1, 2026 5:30 AM"
Sodexo Card,"COP 400,000.00",,"February 1, 2026 5:30 AM"
VariaCode Salary,,"$2,000.00","March 1, 2026 5:11 AM"
Mom's Phone Plan,"COP 40,000.00",,"March 1, 2026 5:25 AM"
Mom's Health Insurance,"COP 165,000.00",,"March 1, 2026 5:25 AM"
Pills,"COP 50,000.00",,"March 1, 2026 5:25 AM"
C&T Salary,"COP 8,250,000.00",,"March 1, 2026 5:25 AM"
Galleta's Quota,"COP 100,000.00",,"March 1, 2026 5:25 AM"
Valentina's Quota,"COP 1,000,000.00",,"March 1, 2026 5:25 AM"
English Professor,"COP 670,000.00",,"March 1, 2026 5:25 AM"
Sodexo Card,"COP 400,000.00",,"March 1, 2026 5:25 AM"
Valentina's Gym Loan,"COP 122,500.00",,"March 30, 2026 5:01 AM"
Valentina's Quota On Mom's Dental Treatment,"COP 500,000.00",,"March 30, 2026 5:01 AM"
VariaCode Salary,,"$2,000.00","April 1, 2026 5:00 AM"
Mom's Health Insurance,"COP 165,000.00",,"April 1, 2026 5:02 AM"
English Professor,"COP 670,000.00",,"April 1, 2026 5:02 AM"
Sodexo Card,"COP 400,000.00",,"April 1, 2026 5:02 AM"
Mom's Phone Plan,"COP 40,000.00",,"April 1, 2026 5:02 AM"
Valentina's Quota,"COP 1,000,000.00",,"April 1, 2026 5:02 AM"
Pills,"COP 50,000.00",,"April 1, 2026 5:02 AM"
Galleta's Quota,"COP 100,000.00",,"April 1, 2026 5:02 AM"
C&T Salary,"COP 8,250,000.00",,"April 1, 2026 5:02 AM"
Valentina's Quota On Mom's Dental Treatment,"COP 500,000.00",,"April 30, 2026 5:00 AM"
Valentina's Gym Loan,"COP 122,500.00",,"April 30, 2026 5:00 AM"
VariaCode Salary,,"$2,000.00","May 1, 2026 5:00 AM"
Pills,"COP 50,000.00",,"May 1, 2026 5:02 AM"
Valentina's Quota,"COP 1,000,000.00",,"May 1, 2026 5:02 AM"
Sodexo Card,"COP 400,000.00",,"May 1, 2026 5:02 AM"
C&T Salary,"COP 8,250,000.00",,"May 1, 2026 5:02 AM"
Galleta's Quota,"COP 100,000.00",,"May 1, 2026 5:02 AM"
Mom's Phone Plan,"COP 40,000.00",,"May 1, 2026 5:02 AM"
English Professor,"COP 670,000.00",,"May 1, 2026 5:02 AM"
Mom's Health Insurance,"COP 165,000.00",,"May 1, 2026 5:02 AM"
Valentina's Quota On Mom's Dental Treatment,"COP 500,000.00",,"May 30, 2026 5:00 AM"
Valentina's Gym Loan,"COP 122,500.00",,"May 30, 2026 5:00 AM"
VariaCode Salary,,"$2,000.00","June 1, 2026 5:00 AM"
Sodexo Card,"COP 400,000.00",,"June 1, 2026 5:03 AM"
C&T Salary,"COP 8,250,000.00",,"June 1, 2026 5:03 AM"
Valentina's Quota,"COP 1,000,000.00",,"June 1, 2026 5:03 AM"
Galleta's Quota,"COP 100,000.00",,"June 1, 2026 5:03 AM"
Mom's Phone Plan,"COP 40,000.00",,"June 1, 2026 5:03 AM"
Mom's Health Insurance,"COP 165,000.00",,"June 1, 2026 5:03 AM"
Pills,"COP 50,000.00",,"June 1, 2026 5:03 AM"
English Professor,"COP 670,000.00",,"June 1, 2026 5:03 AM"
Valentina's Quota On Mom's Dental Treatment,"COP 500,000.00",,"June 30, 2026 5:01 AM"
Valentina's Gym Loan,"COP 122,500.00",,"June 30, 2026 5:01 AM"
VariaCode Salary,,"$2,000.00","July 1, 2026 5:01 AM"
Pills,"COP 50,000.00",,"July 1, 2026 5:02 AM"
Valentina's Quota,"COP 1,000,000.00",,"July 1, 2026 5:02 AM"
Mom's Health Insurance,"COP 165,000.00",,"July 1, 2026 5:02 AM"
English Professor,"COP 670,000.00",,"July 1, 2026 5:02 AM"
Galleta's Quota,"COP 100,000.00",,"July 1, 2026 5:02 AM"
Mom's Phone Plan,"COP 40,000.00",,"July 1, 2026 5:02 AM"
C&T Salary,"COP 8,250,000.00",,"July 1, 2026 5:02 AM"
Sodexo Card,"COP 400,000.00",,"July 1, 2026 5:02 AM"
